 	
DATE	 NO OF FISH 
Jan 01	  29 
Jan 04	  15 
Jan 05	  40 
Jan 06	  62 
Jan 07	  113 
Jan 08	
Jan 11	  13 
Jan 12	  77 
Jan 13	  61 
Jan 14	  86 
Jan 15	  -   
Jan 18	  -   
Jan 19	  -   
Jan 20	  -   
Jan 21	  -   
Jan 22	  -   
Jan 25	  38 
Jan 26	  34 
Jan 27	  27 
Jan 28	  104 
Jan 29	  18 
Feb 01	  27 
Feb 02	  17 
Feb 03	  90 
Feb 04	  70 
Feb 05	  25 
Feb 08	  40 
Feb 09	  41 
Feb 10	  56 
Feb 11	  30 
Feb 12	  11 
Feb 15	  51 
Feb 16	  10 
Feb 17	  60 
Feb 18	  55 
Feb 19	  6 
Feb 22	  25 
Feb 23	  106 
Feb 24	  39 
Feb 25	  93 
Feb 26	  13 
Mar 01	  21 
Mar 02	  32 
Mar 03	  101 
Mar 04	  41 
Mar 05	  -   
Mar 08	  -   
Mar 09	  64 
Mar 10	  63 
Mar 11	  59 
Mar 12	  -   
Mar 15	  60 
Mar 16	  85 
Mar 17	  56 
Mar 18	  36 
Mar 19	  12 
Mar 22	  32 
Mar 23	  68 
Mar 24	  73 
Mar 25	  114 
Mar 26	  13 
Mar 29	  33 
Mar 30	  90 
Mar 31	  80 
Apr 01	  111 
Apr 02	  22 
Apr 05	  40 
Apr 06	  38 
Apr 07	  67 
Apr 08	  98 
Apr 09	  41 
Apr 12	  20 
Apr 13	  39 
Apr 14	  7 
Apr 15	  22 
Apr 16	  -   
Apr 19	  19 
Apr 20	  40 
Apr 21	  71 
Apr 22	  28 
Apr 23	  9 
Apr 26	  2 
Apr 27	  23 
Apr 28	  77 
Apr 29	  86 
Apr 30	  21 
May 03	  36 
May 04	  38 
May 05	  173 
May 06	  114 
May 07	  -   
May 10	  9 
May 11	  68 
May 12	  51 
May 13	  25 
May 14	  10 
May 17	  -   
May 18	  57 
May 19	  58 
May 20	  12 
May 21	  1 
May 24	  22 
May 25	  37 
May 26	  103 
May 27	  54 
May 28	  3 
May 31	  22 
Jun 01	  28 
Jun 02	  69 
Jun 03	  70 
Jun 04	  5 
Jun 07	  27 
Jun 08	  69 
Jun 09	  103 
Jun 10	  117 
Jun 11	  25 
Jun 14	  13 
Jun 15	  42 
Jun 16	  34 
Jun 17	  87 
Jun 18	  -   
Jun 21	  9 
Jun 22	  22 
Jun 23	  24 
Jun 24	  89 
Jun 25	  57 
Jun 26	  10 
Jun 28	  -   
Jun 29	  18 
Jun 30	  10 
Jul 01	  41 
Jul 02	  -   
Jul 05	  24 
Jul 06	  38 
Jul 07	  51 
Jul 08	  22 
Jul 09	  2 
Jul 11	  -   
Jul 12	  52 
Jul 13	  -   
Jul 14	  -   
Jul 15	  42 
Jul 16	  65 
Jul 18	 - 
Jul 19	  34 
Jul 20	  3 
Jul 21	  39 
Jul 22	 - 
Jul 23	  55 
Jul 24	  -   
Jul 26	  -   
Jul 27	  50 
Jul 28	  57 
Jul 29	  40 
Jul 30	  -   
Aug 02	  -   
Aug 03	  52 
Aug 04	  7 
Aug 05	  57 
